pattern;file;grep;hyperscan;re2g;srm;dot-net;cap;rust;go;ruby;php;perl;python;java;node;grep-matches;hyperscan-matches;re2g-matches;srm-matches;dot-net-matches;cap-matches;rust-matches;go-matches;ruby-matches;php-matches;perl-matches;python-matches;java-matches;node-matches;file size [MG]
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";../runGen4/random/random50000.txt;0.0;0.06;0.06;0.77;0.54;1.2;0.0;0.44;1.92;3.25;0.08;0.12;0.74;0.94;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"[^\x20]{3,30}\x20[^\x20]{2,10}\x20bye\x20{1,5}";../runGen4/random/random50000.txt;;;;;;3.59;;;;4.87;;4.75;;;;;;;;0;;;;0;;0;;;52.4288
"(""http:\/\/video\.google\.com\/googleplayer\.swf\?docId=\d{19}\&hl=[a-z]{2}"")";../runGen4/random/random50000.txt;0.0;0.05;0.06;0.74;0.51;1.15;0.0;0.43;1.9;2.96;0.07;0.14;0.72;0.82;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
"(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})";../runGen4/random/random50000.txt;ERR;0.09;0.22;0.83;4.32;1.29;0.11;16.92;3.99;3.22;13.09;6.19;7.66;0.86;ERR;61;61;61;61;61;61;61;61;61;61;61;61;61;52.4288
"(((((00|\+)49[ \-/]{0,1})|0)[1-9][0-9]{1,4}[ \-/]{0,1}|(((00|\+)49\()|\(0)[1-9][0-9]{1,4}\))[0-9]{1,7}[ \-/]{0,1}[0-9]{1,5})";../runGen4/random/random50000.txt;ERR;0.09;0.24;0.86;4.32;1.31;0.13;17.76;4.28;3.35;13.19;6.28;7.78;0.9;ERR;61;61;61;61;61;61;61;61;61;61;61;61;61;52.4288
"[^\x20]{3,30}\x20[^\x20]{2,10}\x20bye\x20{1,5}";../runGen4/random/random50000.txt;;;;;;;;;;;;;23.09;10.22;;;;;;;;;;;;;0;0;52.4288
"((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))";../runGen4/random/random50000.txt;0.05;0.1;0.22;0.84;3.64;1.48;0.09;TO;6.4;3.24;TO;11.59;8.14;0.96;0;0;0;0;0;0;0;TO;0;0;TO;0;0;0;52.4288
"((((0031)|(\+31))(\-)?6(\-)?[0-9]{8})|(06(\-)?[0-9]{8})|(((0031)|(\+31))(\-)?[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6})))|([0]{1}[1-9]{1}(([0-9](\-)?[0-9]{7})|([0-9]{2}(\-)?[0-9]{6}))))";../runGen4/random/random50000.txt;0.06;0.1;0.22;0.84;3.56;1.44;0.08;19.61;6.17;3.15;18.84;11.23;7.96;0.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))";../runGen4/random/random50000.txt;0.07;0.1;0.23;0.93;4.07;2.03;0.23;11.35;3.45;3.21;9.71;4.85;4.19;0.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"((4(\d{12}|\d{15}))|(5\d{15})|(6011\d{12})|(3(4|7)\d{13}))";../runGen4/random/random50000.txt;0.07;0.12;0.23;0.98;4.09;2.12;0.24;11.76;3.48;3.3;9.84;4.92;4.24;1.02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;52.4288
"[^\x20]{3,30}\x20[^\x20]{2,10}\x20bye\x20{1,5}";../runGen4/random/random50000.txt;;;;;;;;54.76;;;;;;;;;;;;;;0;;;;;;;52.4288
"(([0-9]{3})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))|([0-9]{9})|([\+]?([0-9]{3})[ \-\/]?([0-9]{2})[ \-\/]?([0-9]{3})[ \-\/]?([0-9]{3}))";../runGen4/random/random50000.txt;0.12;0.15;0.28;1.08;8.3;1.88;0.0;14.42;5.84;3.63;15.93;8.49;5.44;1.4;0;0;0;0;0;0;ERR;0;0;0;0;0;0;0;52.4288
